ValidateInitToken,Use the token generated by the application. It's located at: %s
ValidateEmail,The email address should be valid.
NotEmpty,The firstname should be contain 3 characters.
AtLeastUpper,The password should contain at least an upper letter.
AtLeastLower,The password should contain at least a lower letter.
AtLeastNumber,The password should contain at least a number.
AtLeastSpecialChar,The password should contain at least a special character.
AtLeast8Char,The password should contain at least 8 character.
SameAsPrevious,Passwords should be same.
